epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5505,1.16583,3.14147,1.36852,0.59153,0.31723,0.19787,0.13194,1.71938,2.03183,1.27926,0.000207937,0.000207937,0.000207937
2,90.9963,1.12718,1.94886,1.29975,0.73277,0.1785,0.23245,0.16014,1.5607,2.05736,1.23625,0.000408028,0.000408028,0.000408028
3,132.009,1.11226,1.60942,1.28871,0.39138,0.38201,0.25205,0.17071,1.53131,1.86846,1.19733,0.00059987,0.00059987,0.00059987
4,170.9,1.09174,1.39267,1.27292,0.36017,0.39817,0.27215,0.18251,1.44363,1.55516,1.16693,0.000587875,0.000587875,0.000587875
5,212.496,1.06731,1.27913,1.25841,0.39914,0.34223,0.27292,0.18266,1.46292,1.50584,1.15586,0.0005755,0.0005755,0.0005755
6,253.401,1.0312,1.21846,1.22909,0.44869,0.38694,0.28767,0.20116,1.45243,1.46817,1.13271,0.000563125,0.000563125,0.000563125
7,292.708,1.01131,1.15624,1.2185,0.42744,0.41277,0.2969,0.21134,1.40764,1.38152,1.12375,0.00055075,0.00055075,0.00055075
8,334.536,0.99689,1.1268,1.2013,0.48559,0.4245,0.35252,0.24566,1.34773,1.2772,1.09422,0.000538375,0.000538375,0.000538375
9,376.197,0.9831,1.0793,1.19979,0.51913,0.38979,0.2797,0.19753,1.35456,1.39818,1.09748,0.000526,0.000526,0.000526
10,415.597,0.96248,1.04613,1.18167,0.46773,0.44862,0.38769,0.28183,1.32789,1.2191,1.08325,0.000513625,0.000513625,0.000513625
11,457.214,0.95226,1.02738,1.17864,0.46343,0.46196,0.3202,0.22849,1.3034,1.21706,1.06489,0.00050125,0.00050125,0.00050125
12,498.198,0.9337,0.98695,1.16804,0.42883,0.45973,0.34213,0.25163,1.317,1.2769,1.06414,0.000488875,0.000488875,0.000488875
13,537.649,0.92427,0.97407,1.16207,0.50608,0.38757,0.3389,0.24124,1.3267,1.15391,1.07359,0.0004765,0.0004765,0.0004765
14,578.807,0.91006,0.93297,1.14985,0.48872,0.43664,0.36866,0.27217,1.34961,1.2979,1.08114,0.000464125,0.000464125,0.000464125
15,620.232,0.88455,0.92966,1.14468,0.47856,0.44911,0.31218,0.22555,1.2766,1.24367,1.05555,0.00045175,0.00045175,0.00045175
16,659.53,0.89216,0.91337,1.14279,0.4632,0.44898,0.34435,0.25119,1.25093,1.20737,1.05181,0.000439375,0.000439375,0.000439375
17,700.259,0.87205,0.88727,1.13084,0.59272,0.40736,0.36496,0.26595,1.42973,1.21132,1.08797,0.000427,0.000427,0.000427
18,741.47,0.87479,0.88581,1.13356,0.63043,0.35666,0.35392,0.25527,1.28691,1.1298,1.0543,0.000414625,0.000414625,0.000414625
19,782.085,0.87403,0.8752,1.12659,0.55356,0.46639,0.40502,0.30382,1.20701,1.06849,1.02331,0.00040225,0.00040225,0.00040225
20,823.876,0.85058,0.84379,1.11723,0.58076,0.39827,0.41657,0.31276,1.21447,1.0777,1.03106,0.000389875,0.000389875,0.000389875
21,864.956,0.84493,0.8459,1.11103,0.56652,0.45676,0.33958,0.24679,1.30452,1.10892,1.04787,0.0003775,0.0003775,0.0003775
22,904.317,0.83051,0.8187,1.10594,0.51893,0.44578,0.36174,0.26472,1.19082,1.03815,1.02879,0.000365125,0.000365125,0.000365125
23,945.917,0.83019,0.80245,1.10335,0.57724,0.46668,0.38815,0.28858,1.17157,0.98143,1.01949,0.00035275,0.00035275,0.00035275
24,987.599,0.8248,0.77746,1.09888,0.64815,0.37123,0.38884,0.2847,1.18705,1.08606,1.0302,0.000340375,0.000340375,0.000340375
25,1027.4,0.80911,0.7796,1.08698,0.67462,0.3815,0.41626,0.29923,1.2325,1.11637,1.04629,0.000328,0.000328,0.000328
26,1068.82,0.80799,0.76354,1.08618,0.67924,0.39275,0.38856,0.28718,1.22191,1.11044,1.04699,0.000315625,0.000315625,0.000315625
27,1110.38,0.79631,0.76765,1.08679,0.59762,0.46486,0.45745,0.34456,1.16659,1.00452,1.01607,0.00030325,0.00030325,0.00030325
28,1150.3,0.79,0.73485,1.07974,0.58804,0.46673,0.43225,0.31869,1.21652,1.07457,1.03289,0.000290875,0.000290875,0.000290875
29,1191.25,0.7799,0.72863,1.07603,0.65416,0.39512,0.47246,0.36268,1.17927,1.01929,1.01281,0.0002785,0.0002785,0.0002785
30,1232.88,0.7719,0.72599,1.06881,0.59592,0.45805,0.41016,0.29765,1.15239,0.97538,1.00676,0.000266125,0.000266125,0.000266125
31,1272.48,0.77202,0.71181,1.06638,0.6788,0.37802,0.48774,0.3698,1.17432,1.07624,1.01555,0.00025375,0.00025375,0.00025375
32,1313.69,0.77232,0.7233,1.06501,0.59031,0.46198,0.38179,0.28416,1.17198,1.05119,1.01636,0.000241375,0.000241375,0.000241375
33,1355.08,0.75816,0.69731,1.05869,0.6385,0.37368,0.45859,0.34735,1.14804,1.00274,1.00269,0.000229,0.000229,0.000229
34,1397.38,0.74681,0.6916,1.05568,0.63082,0.41152,0.4631,0.35267,1.1411,1.04543,1.00123,0.000216625,0.000216625,0.000216625
35,1435.52,0.75249,0.67922,1.05398,0.60869,0.44779,0.4715,0.36231,1.13669,1.05569,0.99766,0.00020425,0.00020425,0.00020425
36,1477.07,0.73847,0.66798,1.05,0.52037,0.56839,0.47298,0.36036,1.12709,1.0031,0.99527,0.000191875,0.000191875,0.000191875
37,1518.06,0.73361,0.66236,1.04276,0.6183,0.51261,0.48902,0.37197,1.10115,1.00036,0.99189,0.0001795,0.0001795,0.0001795
38,1557.91,0.72589,0.64818,1.04026,0.60963,0.54949,0.48517,0.37143,1.08537,0.98605,0.98078,0.000167125,0.000167125,0.000167125
39,1599.74,0.71975,0.65388,1.04315,0.55881,0.55911,0.45873,0.34389,1.11055,1.02239,0.98999,0.00015475,0.00015475,0.00015475
40,1639.73,0.70984,0.64041,1.03698,0.64036,0.48499,0.45599,0.35612,1.07734,1.00982,0.98346,0.000142375,0.000142375,0.000142375
41,1680.86,0.73812,0.56979,1.03005,0.62021,0.49144,0.50524,0.38785,1.1181,0.96398,0.98834,0.00013,0.00013,0.00013
42,1721.02,0.72734,0.5518,1.01869,0.59772,0.53354,0.45473,0.34249,1.11047,1.04999,0.99262,0.000117625,0.000117625,0.000117625
43,1759.5,0.71344,0.5402,1.01389,0.60227,0.53715,0.44774,0.33839,1.12744,1.01039,0.99166,0.00010525,0.00010525,0.00010525
44,1799.46,0.70224,0.53312,1.00475,0.63195,0.52343,0.47771,0.3689,1.09483,0.97486,0.98142,9.2875e-05,9.2875e-05,9.2875e-05
45,1839.4,0.69141,0.51819,0.9995,0.62562,0.52646,0.47231,0.366,1.10425,1.00909,0.98741,8.05e-05,8.05e-05,8.05e-05
